quartos;vagas;area;preco
4;3;152;551065.6634649908
5;3;38;470750.6873139392
3;3;291;660299.3519345485
5;3;102;499241.32266325643
5;3;252;767481.1210497617
2;0;70;217959.73850293053
3;3;233;627216.0627520344
3;0;293;614100.1904752568
3;3;207;612604.0480241602
5;2;113;477238.91145872575
4;1;140;484436.0110503763
3;0;280;624991.62610545
5;3;36;393711.62245664
2;2;113;365157.40487162693
4;1;237;586190.0402834188
2;0;51;197103.2314507025
4;1;32;292868.24139635655
5;2;156;515944.92130200623
1;0;217;403984.685194238
4;1;43;317366.7833521246
2;3;41;301081.57946811523
5;0;116;456222.87309299083
4;1;41;357317.6784815752
1;2;54;213140.84764157428
1;2;272;535889.3989599538
3;0;151;392812.86698565807
3;1;176;455208.2257793645
2;0;84;201844.98167234863
4;0;267;616096.1074598408
4;1;202;511642.90547128016
3;1;250;584040.6668917154
4;3;148;507198.79415058834
4;1;212;550113.3475382316
1;2;111;283111.79610334896
3;0;240;525901.2992437351
5;0;179;538637.3650987807
3;2;66;350689.5916614614
5;1;88;420449.39812984894
1;2;160;379602.9227244474
2;2;231;581117.3446644713
4;3;272;725547.0140552646
1;2;64;222390.2042213673
4;0;122;387416.96696143405
2;2;236;530113.3690915934
2;0;242;465275.5931278119
1;0;188;357373.2285336754
2;0;53;201570.88277278785
5;1;33;306255.6155816441
2;3;249;583128.8398846786
4;0;49;315022.9262528003
4;0;181;483517.762955945
4;1;79;355442.06455176877
4;0;206;501445.98453766294
5;2;125;480340.1591675119
3;2;134;447626.9853412651
1;3;279;574870.4334084161
4;0;146;454440.43124006846
2;1;257;566126.4748915894
4;2;95;440924.9536982069
2;1;291;575652.5535712241
2;1;272;560897.3532931511
4;2;215;590204.5426968617
5;1;275;698334.2307479668
2;2;154;417856.3032480525
2;1;297;578854.1223376365
4;2;160;475816.96761822596
2;0;266;501237.0420854525
2;3;47;274362.37702625256
4;2;69;413927.96995663847
4;2;50;345181.2510025727
1;3;254;551238.4818205856
5;2;37;382133.83532075863
5;2;129;548028.1028774077
2;1;269;576641.9277092791
5;3;116;557523.5021047984
2;0;43;149820.32941165293
1;2;31;180634.4809448999
4;3;70;430178.77200243896
4;1;140;467630.7712517866
4;0;43;297231.92651643656
5;3;260;751167.0200857095
1;0;113;224604.31586546946
5;0;159;474558.05230027495
5;0;260;647088.6114270305
1;2;174;444562.19747276785
1;2;57;205786.97647818655
1;1;95;203312.19547818514
1;1;192;402652.98721458163
4;3;258;714109.2001736528
3;1;290;660746.4878030427
3;0;193;468919.5700741356
1;0;39;145412.03028933902
3;2;224;602804.3426968398
3;0;147;375590.5301587577
1;3;299;589622.9858915256
3;0;109;311608.26920894143
5;0;122;447684.60827012034
2;3;295;681168.4483965033
2;1;286;589561.3673549247
1;1;162;352773.8390541844
4;3;293;713113.8414267055
1;2;200;416136.2634552716
4;0;30;228286.84734275925
2;3;93;372924.9157864309
1;0;150;326712.9298577147
5;2;136;549591.3345448077
3;0;204;456264.2790852091
4;3;233;689140.4498723159
3;0;194;455934.9017994958
3;1;149;399210.8143849468
1;2;73;220211.91490776616
3;2;185;498896.8672881633
5;2;236;684991.5704096941
3;3;137;462273.11576696415
1;2;280;521746.63163657946
5;1;159;562766.3281837128
2;3;49;280487.88161126315
3;1;30;230724.92287458698
1;0;148;314206.0472396553
2;0;64;192331.87623466938
2;0;227;427922.1963285097
4;0;274;656449.7489319748
5;1;88;469827.7569910068
3;3;190;535758.0796269721
1;3;208;471080.5998416571
4;2;235;609566.705709582
5;1;41;361609.8510048679
4;0;210;525485.894725376
5;1;271;704457.4311993
5;2;245;705685.1677519449
3;2;280;628037.090439383
5;1;155;525263.7732153486
4;1;246;582924.3715644365
5;1;214;613900.2543177343
3;3;68;360131.31858166
3;0;252;552579.6485012216
4;1;213;574291.5308072641
2;1;207;478578.4550147371
2;1;180;389206.6696145336
5;2;155;532774.4594009941
1;2;263;535079.1587278504
5;3;37;374720.77445989166
4;0;158;460666.0042420999
4;3;293;725894.1412082021
4;0;186;530456.2928183436
4;2;34;336009.04815455555
4;2;115;448116.87960573874
3;2;204;560554.4175427835
2;3;222;521731.959868581
4;1;148;454531.80731824384
1;1;247;445270.9033268978
1;2;143;327199.21547302016
1;1;174;362222.31218734774
1;1;55;192379.0374398744
3;3;165;526728.4337073509
1;0;261;425005.5190619852
4;2;105;434062.7402707342
5;2;30;352836.709376184
1;3;176;419894.258170238
3;3;171;563183.2716025407
3;1;82;328837.2352400003
1;2;98;294989.2994229649
5;0;119;487713.8254432209
1;3;249;556047.1648634952
3;0;221;492541.71040626033
2;0;92;232483.35826860124
4;2;102;432397.114609583
3;2;190;503645.8843156263
1;3;198;426509.5742676165
4;2;118;461818.4999457894
1;2;205;442817.72596118663
1;2;298;612382.3340052657
2;0;102;265764.7386232637
4;3;274;726602.427779389
4;1;106;395690.2917061957
2;0;188;419463.3886138693
3;2;127;418007.6440761974
1;0;131;243048.16782294514
5;2;161;571230.5635666968
1;2;131;334310.4579513
1;0;48;147105.46774827127
3;3;111;447417.9343099174
1;2;158;338038.8725591862
2;3;118;370145.14819970116
2;1;242;525795.7466359107
4;2;172;523494.62044077856
5;3;94;505809.42498660414
1;3;105;269105.09505176474
1;1;228;496318.93144625763
3;3;172;512605.6293688533
2;3;122;416879.12519976555
5;1;253;672762.0434883302
4;2;131;484793.97057461774
2;3;296;683838.3929269054
4;3;139;541816.1203841678
3;3;294;696910.9004062956
3;0;32;215294.91349212616
1;1;114;291071.3312036657
5;0;146;535664.888085706
4;1;250;628845.6534879808
2;2;183;493641.27281083283
3;2;182;498171.71179159585
1;3;41;240539.20727019603
1;1;162;365023.11524494574
4;2;257;657300.7899229445
3;1;72;293058.43841396715
5;2;50;427907.7837709471
